Time (s),Load (lbf),Machine Extension (in),Extension (in)
0.3860,0.013246,0.0048524,0.0048524
0.3870,0.013252,0.0048778,0.0048778
0.3880,0.013259,0.0049032,0.0049032
0.3890,0.013265,0.0049286,0.0049286
0.3900,0.013271,0.0049540,0.0049540
0.3910,0.013278,0.0049794,0.0049794
0.3920,0.013284,0.0050100,0.0050100
0.3929,0.013290,0.0050433,0.0050433
0.3939,0.013296,0.0050765,0.0050765
0.3949,0.013303,0.0051097,0.0051097
0.3959,0.013309,0.0051429,0.0051429
0.3969,0.013315,0.0051761,0.0051761
0.3979,0.013322,0.0052093,0.0052093
0.3989,0.013328,0.0052426,0.0052426
0.3999,0.013334,0.0052758,0.0052758
0.4009,0.013340,0.0053090,0.0053090
0.4019,0.013347,0.0053422,0.0053422
0.4029,0.013353,0.0053754,0.0053754
0.4039,0.013359,0.0054086,0.0054086
0.4049,0.013365,0.0054419,0.0054419
0.4059,0.013372,0.0054751,0.0054751
0.4069,0.013378,0.0055083,0.0055083
0.4079,0.013384,0.0055415,0.0055415
0.4089,0.013391,0.0055747,0.0055747
0.4099,0.013397,0.0056010,0.0056010
0.4109,0.013403,0.0056272,0.0056272
0.4118,0.013409,0.0056535,0.0056535
0.4128,0.013416,0.0056798,0.0056798
0.4138,0.013422,0.0057061,0.0057061
0.4148,0.013428,0.0057323,0.0057323
0.4158,0.013435,0.0057586,0.0057586
0.4168,0.013441,0.0057834,0.0057834
0.4178,0.013447,0.0057996,0.0057996
0.4188,0.013453,0.0058159,0.0058159
0.4198,0.013460,0.0058321,0.0058321
0.4208,0.013466,0.0058483,0.0058483
0.4218,0.013472,0.0058646,0.0058646
0.4228,0.013478,0.0058808,0.0058808
0.4238,0.013485,0.0058970,0.0058970
0.4248,0.013491,0.0059103,0.0059103
0.4258,0.013497,0.0059164,0.0059164
0.4268,0.013504,0.0059225,0.0059225
0.4278,0.013510,0.0059287,0.0059287
0.4288,0.013516,0.0059348,0.0059348
0.4298,0.013522,0.0059409,0.0059409
0.4307,0.013529,0.0059471,0.0059471
0.4317,0.013535,0.0059532,0.0059532
0.4327,0.013541,0.0059593,0.0059593
0.4337,0.013548,0.0059655,0.0059655
0.4347,0.013554,0.0059716,0.0059716
0.4357,0.013560,0.0059777,0.0059777
0.4367,0.013566,0.0059838,0.0059838
0.4377,0.013573,0.0059900,0.0059900
0.4387,0.013579,0.0059961,0.0059961
0.4397,0.013585,0.0060026,0.0060026
0.4407,0.013591,0.0060092,0.0060092
0.4417,0.013598,0.0060159,0.0060159
0.4427,0.013604,0.0060226,0.0060226
0.4437,0.013610,0.0060293,0.0060293
0.4447,0.013617,0.0060360,0.0060360
0.4457,0.013623,0.0060427,0.0060427
0.4467,0.013629,0.0060493,0.0060493
0.4477,0.013635,0.0060560,0.0060560
0.4487,0.013642,0.0060627,0.0060627
0.4496,0.013648,0.0060730,0.0060730
0.4506,0.013654,0.0060845,0.0060845
0.4516,0.013661,0.0060959,0.0060959
0.4526,0.013667,0.0061074,0.0061074
0.4536,0.013673,0.0061189,0.0061189
0.4546,0.013679,0.0061303,0.0061303
0.4556,0.013686,0.0061418,0.0061418
0.4566,0.013692,0.0061533,0.0061533
0.4576,0.013698,0.0061647,0.0061647
0.4586,0.013705,0.0061762,0.0061762
0.4596,0.013711,0.0061924,0.0061924
0.4606,0.013717,0.0062089,0.0062089
0.4616,0.013723,0.0062254,0.0062254
0.4626,0.013730,0.0062420,0.0062420
0.4636,0.013736,0.0062585,0.0062585
0.4646,0.013742,0.0062750,0.0062750
0.4656,0.013748,0.0062915,0.0062915
0.4666,0.013755,0.0063081,0.0063081
0.4676,0.013761,0.0063246,0.0063246
0.4686,0.013767,0.0063411,0.0063411
0.4695,0.013774,0.0063577,0.0063577
0.4705,0.013780,0.0063742,0.0063742
0.4715,0.013786,0.0063907,0.0063907
0.4725,0.013792,0.0064072,0.0064072
0.4735,0.013799,0.0064238,0.0064238
0.4745,0.013805,0.0064403,0.0064403
0.4755,0.013811,0.0064568,0.0064568
0.4765,0.013818,0.0064733,0.0064733
0.4775,0.013824,0.0064899,0.0064899
0.4785,0.013830,0.0065064,0.0065064
0.4795,0.013836,0.0065229,0.0065229
0.4805,0.013843,0.0065408,0.0065408
0.4815,0.013849,0.0065613,0.0065613
0.4825,0.013855,0.0065818,0.0065818
0.4835,0.013861,0.0066023,0.0066023
0.4845,0.013868,0.0066228,0.0066228
0.4855,0.013874,0.0066433,0.0066433
0.4865,0.013880,0.0066638,0.0066638
0.4875,0.013887,0.0066843,0.0066843
0.4884,0.013893,0.0067048,0.0067048
0.4894,0.013899,0.0067253,0.0067253
0.4904,0.013905,0.0067458,0.0067458
0.4914,0.013912,0.0067663,0.0067663
0.4924,0.013918,0.0067868,0.0067868
0.4934,0.013924,0.0068073,0.0068073
0.4944,0.013931,0.0068299,0.0068299
0.4954,0.013937,0.0068540,0.0068540
0.4964,0.013943,0.0068780,0.0068780
0.4974,0.013949,0.0069021,0.0069021
0.4984,0.013956,0.0069261,0.0069261
0.4994,0.013962,0.0069502,0.0069502
0.5004,0.013968,0.0069743,0.0069743
0.5014,0.013974,0.0069983,0.0069983
0.5024,0.013981,0.0070224,0.0070224
0.5034,0.013987,0.0070464,0.0070464
0.5044,0.013993,0.0070705,0.0070705
0.5054,0.014000,0.0070945,0.0070945
0.5064,0.014006,0.0071186,0.0071186
0.5073,0.014012,0.0071427,0.0071427
0.5083,0.014018,0.0071667,0.0071667
0.5093,0.014025,0.0071908,0.0071908
0.5103,0.014031,0.0072148,0.0072148
0.5113,0.014037,0.0072389,0.0072389
0.5123,0.014044,0.0072630,0.0072630
0.5133,0.014050,0.0072870,0.0072870
0.5143,0.014056,0.0073044,0.0073044
0.5153,0.014062,0.0073215,0.0073215
0.5163,0.014069,0.0073386,0.0073386
0.5173,0.014075,0.0073557,0.0073557
0.5183,0.014081,0.0073728,0.0073728
0.5193,0.014087,0.0073899,0.0073899
0.5203,0.014094,0.0074070,0.0074070
0.5213,0.014100,0.0074241,0.0074241
0.5223,0.014106,0.0074412,0.0074412
0.5233,0.014113,0.0074583,0.0074583
0.5243,0.014119,0.0074754,0.0074754
0.5253,0.014125,0.0074926,0.0074926
0.5262,0.014131,0.0075086,0.0075086
0.5272,0.014138,0.0075202,0.0075202
0.5282,0.014144,0.0075318,0.0075318
0.5292,0.014150,0.0075434,0.0075434
0.5302,0.014157,0.0075550,0.0075550
0.5312,0.014163,0.0075667,0.0075667
0.5322,0.014169,0.0075783,0.0075783
0.5332,0.014175,0.0075899,0.0075899
0.5342,0.014182,0.0076015,0.0076015
0.5352,0.014188,0.0076131,0.0076131
0.5362,0.014194,0.0076248,0.0076248
0.5372,0.014201,0.0076364,0.0076364
0.5382,0.014207,0.0076480,0.0076480
0.5392,0.014213,0.0076596,0.0076596
0.5402,0.014219,0.0076712,0.0076712
0.5412,0.014226,0.0076829,0.0076829
0.5422,0.014232,0.0076945,0.0076945
0.5432,0.014238,0.0077061,0.0077061
0.5442,0.014244,0.0077177,0.0077177
0.5451,0.014251,0.0077293,0.0077293
0.5461,0.014257,0.0077429,0.0077429
0.5471,0.014263,0.0077579,0.0077579
0.5481,0.014270,0.0077729,0.0077729
0.5491,0.014276,0.0077879,0.0077879
0.5501,0.014282,0.0078029,0.0078029
0.5511,0.014288,0.0078179,0.0078179
0.5521,0.014295,0.0078329,0.0078329
0.5531,0.014301,0.0078479,0.0078479
0.5541,0.014307,0.0078629,0.0078629
0.5551,0.014314,0.0078779,0.0078779
0.5561,0.014320,0.0078929,0.0078929
0.5571,0.014326,0.0079079,0.0079079
0.5581,0.014332,0.0079229,0.0079229
0.5591,0.014339,0.0079379,0.0079379
0.5601,0.014345,0.0079529,0.0079529
0.5611,0.014351,0.0079679,0.0079679
0.5621,0.014357,0.0079829,0.0079829
0.5631,0.014364,0.0079979,0.0079979
0.5641,0.014370,0.0080129,0.0080129
0.5650,0.014376,0.0080279,0.0080279
0.5660,0.014383,0.0080429,0.0080429
0.5670,0.014389,0.0080579,0.0080579
0.5680,0.014395,0.0080729,0.0080729
0.5690,0.014401,0.0080879,0.0080879
0.5700,0.014408,0.0081029,0.0081029
0.5710,0.014414,0.0081177,0.0081177
0.5720,0.014420,0.0081269,0.0081269
0.5730,0.014427,0.0081361,0.0081361
0.5740,0.014433,0.0081454,0.0081454
0.5750,0.014439,0.0081546,0.0081546
0.5760,0.014445,0.0081639,0.0081639
0.5770,0.014452,0.0081731,0.0081731
0.5780,0.014458,0.0081823,0.0081823
0.5790,0.014464,0.0081916,0.0081916
0.5800,0.014470,0.0082008,0.0082008
0.5810,0.014477,0.0082101,0.0082101
0.5820,0.014483,0.0082193,0.0082193
0.5830,0.014489,0.0082285,0.0082285
0.5839,0.014496,0.0082378,0.0082378
0.5849,0.014502,0.0082470,0.0082470
0.5859,0.014508,0.0082563,0.0082563
0.5869,0.014514,0.0082655,0.0082655
0.5879,0.014521,0.0082747,0.0082747
0.5889,0.014527,0.0082840,0.0082840
0.5899,0.014533,0.0082932,0.0082932
0.5909,0.014540,0.0083025,0.0083025
0.5919,0.014546,0.0083117,0.0083117
0.5929,0.014552,0.0083209,0.0083209
0.5939,0.014558,0.0083302,0.0083302
0.5949,0.014565,0.0083423,0.0083423
0.5959,0.014571,0.0083575,0.0083575
0.5969,0.014577,0.0083727,0.0083727
0.5979,0.014583,0.0083879,0.0083879
0.5989,0.014590,0.0084031,0.0084031
0.5999,0.014596,0.0084183,0.0084183
0.6009,0.014602,0.0084335,0.0084335
0.6019,0.014609,0.0084487,0.0084487
0.6028,0.014615,0.0084694,0.0084694
0.6038,0.014621,0.0084934,0.0084934
0.6048,0.014627,0.0085174,0.0085174
0.6058,0.014634,0.0085413,0.0085413
0.6068,0.014640,0.0085653,0.0085653
0.6078,0.014646,0.0085893,0.0085893
0.6088,0.014653,0.0086132,0.0086132
0.6098,0.014659,0.0086372,0.0086372
0.6108,0.014665,0.0086612,0.0086612
0.6118,0.014671,0.0086851,0.0086851
0.6128,0.014678,0.0087145,0.0087145
0.6138,0.014684,0.0087451,0.0087451
0.6148,0.014690,0.0087757,0.0087757
0.6158,0.014696,0.0088062,0.0088062
0.6168,0.014703,0.0088368,0.0088368
0.6178,0.014709,0.0088674,0.0088674
0.6188,0.014715,0.0088980,0.0088980
0.6198,0.014722,0.0089285,0.0089285
0.6208,0.014728,0.0089591,0.0089591
0.6217,0.014734,0.0089897,0.0089897
0.6227,0.014740,0.0090203,0.0090203
0.6237,0.014747,0.0090509,0.0090509
0.6247,0.014753,0.0090814,0.0090814
0.6257,0.014759,0.0091120,0.0091120
0.6267,0.014766,0.0091426,0.0091426
0.6277,0.014772,0.0091732,0.0091732
0.6287,0.014778,0.0092037,0.0092037
0.6297,0.014784,0.0092343,0.0092343
0.6307,0.014791,0.0092632,0.0092632
0.6317,0.014797,0.0092835,0.0092835
0.6327,0.014803,0.0093037,0.0093037
0.6337,0.014810,0.0093240,0.0093240
0.6347,0.014816,0.0093443,0.0093443
0.6357,0.014822,0.0093645,0.0093645
0.6367,0.014828,0.0093848,0.0093848
0.6377,0.014835,0.0094051,0.0094051
0.6387,0.014841,0.0094253,0.0094253
0.6397,0.014847,0.0094456,0.0094456
0.6407,0.014853,0.0094623,0.0094623
0.6416,0.014860,0.0094725,0.0094725
0.6426,0.014866,0.0094826,0.0094826
0.6436,0.014872,0.0094927,0.0094927
0.6446,0.014879,0.0095028,0.0095028
0.6456,0.014885,0.0095129,0.0095129
0.6466,0.014891,0.0095231,0.0095231
0.6476,0.014897,0.0095332,0.0095332
0.6486,0.014904,0.0095433,0.0095433
0.6496,0.014910,0.0095534,0.0095534
